Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-02-26,8 Mile,2002,https://letterboxd.com/spur_22/film/8-mile/,,,2018-02-13
2018-02-26,Locke,2013,https://letterboxd.com/spur_22/film/locke/,,,2018-02-14
2018-02-26,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/spur_22/film/three-billboards-outside-ebbing-missouri/,,,2018-02-16
2018-02-26,Lady Bird,2017,https://letterboxd.com/spur_22/film/lady-bird/,,,2018-02-16
2018-02-26,Ruby Sparks,2012,https://letterboxd.com/spur_22/film/ruby-sparks/,,,2018-02-16
2018-02-26,Blade Runner 2049,2017,https://letterboxd.com/spur_22/film/blade-runner-2049/1/,,,2018-02-17
2018-02-26,The Rover,2014,https://letterboxd.com/spur_22/film/the-rover/,,,2018-02-18
2018-03-06,Dear Basketball,2017,https://letterboxd.com/spur_22/film/dear-basketball/1/,,,2018-02-20
2018-02-26,Free Fire,2016,https://letterboxd.com/spur_22/film/free-fire/,,,2018-02-22
2018-02-26,Lost River,2014,https://letterboxd.com/spur_22/film/lost-river/,,,2018-02-23
2018-02-26,Giant,2017,https://letterboxd.com/spur_22/film/giant-2017/,,,2018-02-23
2018-02-26,Son of a Gun,2014,https://letterboxd.com/spur_22/film/son-of-a-gun/,,,2018-02-24
2018-02-26,Brigsby Bear,2017,https://letterboxd.com/spur_22/film/brigsby-bear/,,,2018-02-24
2018-02-26,The Snowman,2017,https://letterboxd.com/spur_22/film/the-snowman-2017/,,,2018-02-24
2018-02-26,Bronson,2008,https://letterboxd.com/spur_22/film/bronson/,,,2018-02-25
2018-02-27,Wild,2014,https://letterboxd.com/spur_22/film/wild/,,,2018-02-25
2018-03-03,The Shape of Water,2017,https://letterboxd.com/spur_22/film/the-shape-of-water/,,,2018-03-02
2018-03-04,Gold,2017,https://letterboxd.com/spur_22/film/gold-2017/,,,2018-03-02
2018-03-04,Call Me by Your Name,2017,https://letterboxd.com/spur_22/film/call-me-by-your-name/,,,2018-03-03
2018-03-04,The Square,2017,https://letterboxd.com/spur_22/film/the-square-2017/,,,2018-03-03
2018-03-06,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/spur_22/film/three-billboards-outside-ebbing-missouri/2/,,,2018-03-03
2018-03-05,"I, Tonya",2017,https://letterboxd.com/spur_22/film/i-tonya/,,,2018-03-04
2018-03-06,Raising Arizona,1987,https://letterboxd.com/spur_22/film/raising-arizona/,,,2018-03-04
2018-03-06,Spring Breakers,2012,https://letterboxd.com/spur_22/film/spring-breakers/,,,2018-03-05
2018-03-07,Enemy,2013,https://letterboxd.com/spur_22/film/enemy/,,,2018-03-06
2018-03-08,Something Huge,2017,https://letterboxd.com/spur_22/film/something-huge/,,,2018-03-06
2018-03-10,Lego DC Comics Super Heroes: The Flash,2018,https://letterboxd.com/spur_22/film/lego-dc-super-heroes-the-flash/,,,2018-03-09
2018-03-10,Lost in Translation,2003,https://letterboxd.com/spur_22/film/lost-in-translation/,,,2018-03-09
2018-03-10,Murder on the Orient Express,2017,https://letterboxd.com/spur_22/film/murder-on-the-orient-express-2017/,,,2018-03-09
2018-03-11,The Motive,2017,https://letterboxd.com/spur_22/film/the-motive/,,,2018-03-10
2018-03-12,Slow West,2015,https://letterboxd.com/spur_22/film/slow-west/,,,2018-03-11
2018-03-12,The Witch,2015,https://letterboxd.com/spur_22/film/the-witch-2015/,,,2018-03-11
2018-03-13,Justice League,2017,https://letterboxd.com/spur_22/film/justice-league/,,,2018-03-11
2018-03-14,Space Jam,1996,https://letterboxd.com/spur_22/film/space-jam/,,,2018-03-12
2018-03-16,Revenge of the Green Dragons,2014,https://letterboxd.com/spur_22/film/revenge-of-the-green-dragons/,,,2018-03-15
2018-03-17,Life After Beth,2014,https://letterboxd.com/spur_22/film/life-after-beth-2014/,,,2018-03-16
2018-03-17,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,2016,https://letterboxd.com/spur_22/film/lego-dc-comics-super-heroes-justice-league-gotham-city-breakout/,,,2018-03-16
2018-03-17,Annihilation,2018,https://letterboxd.com/spur_22/film/annihilation/,,,2018-03-16
2018-03-18,Mojave,2015,https://letterboxd.com/spur_22/film/mojave-2015/,,,2018-03-17
2018-03-18,The Room,2003,https://letterboxd.com/spur_22/film/the-room/,,,2018-03-17
2018-03-18,In the Valley of Elah,2007,https://letterboxd.com/spur_22/film/in-the-valley-of-elah/,,,2018-03-17
2018-03-19,The Disaster Artist,2017,https://letterboxd.com/spur_22/film/the-disaster-artist/,,,2018-03-18
2018-03-19,Muse,2017,https://letterboxd.com/spur_22/film/muse/,,,2018-03-18
2018-03-20,The Adderall Diaries,2015,https://letterboxd.com/spur_22/film/the-adderall-diaries/,,,2018-03-19
